"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"88","New Hampshire","ALEXANDRIA","MOROZ","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"89","New Hampshire","ALEXANDRIA","PATRICK","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"90","New Hampshire","ALEXANDRIA","SANDERS","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",91
"91","New Hampshire","ALEXANDRIA","SCATTER","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"92","New Hampshire","ALEXANDRIA","SESTAK","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"93","New Hampshire","ALEXANDRIA","SLOAN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"94","New Hampshire","ALEXANDRIA","STEYER","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",23
"95","New Hampshire","ALEXANDRIA","THISTLE","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"96","New Hampshire","ALEXANDRIA","TORGESEN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"97","New Hampshire","ALEXANDRIA","WARREN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",19
"98","New Hampshire","ALEXANDRIA","WELLS","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"99","New Hampshire","ALEXANDRIA","WILLIAMSON","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"100","New Hampshire","ALEXANDRIA","YANG","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",9
"101","New Hampshire","ALLENSTOWN","BENNET","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",2
"102","New Hampshire","ALLENSTOWN","BIDEN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",65
"103","New Hampshire","ALLENSTOWN","BOOKER","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"104","New Hampshire","ALLENSTOWN","BOYD","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"105","New Hampshire","ALLENSTOWN","BULLOCK","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"106","New Hampshire","ALLENSTOWN","BURKE","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"107","New Hampshire","ALLENSTOWN","BUTTIGIEG","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",183
"108","New Hampshire","ALLENSTOWN","CASTRO","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"109","New Hampshire","ALLENSTOWN","DE LA FUENTE","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"110","New Hampshire","ALLENSTOWN","DELANEY","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"111","New Hampshire","ALLENSTOWN","DUNLAP","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"112","New Hampshire","ALLENSTOWN","ELLINGER","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"113","New Hampshire","ALLENSTOWN","GABBARD","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",26
