"state","candidate","votes","county","party","jurisdiction","source","state_po","state_fips","state_cen","state_ic","year","office","caucus","version","unofficial","mode","stage","dataverse"
"Tennessee","CORY BOOKER",4,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL BENNET",3,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TULSI GABBARD",3,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TOM STEYER",3,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ANDREW YANG",3,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","UNCOMMITTED",3,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOHN K. DELANEY",2,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JULIÁN CASTRO",1,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","DEVAL PATRICK",1,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MARIANNE WILLIAMSON",0,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOSEPH R. BIDEN",281,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","BERNIE SANDERS",182,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL R. BLOOMBERG",105,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ELIZABETH WARREN",55,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","AMY KLOBUCHAR",20,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","PETE BUTTIGIEG",18,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TULSI GABBARD",5,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TOM STEYER",3,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL BENNET",2,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","DEVAL PATRICK",1,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ANDREW YANG",1,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","UNCOMMITTED",1,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","CORY BOOKER",0,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JULIÁN CASTRO",0,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOHN K. DELANEY",0,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MARIANNE WILLIAMSON",0,"CANNON","democrat","CANNON","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOSEPH R. BIDEN",548,"CARROLL","democrat","CARROLL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","BERNIE SANDERS",220,"CARROLL","democrat","CARROLL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
