"office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","readme_check"
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",17750,"CLAY",12019,"CLAY",12019,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",34863,"COLLIER",12021,"COLLIER",12021,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",4843,"COLUMBIA",12023,"COLUMBIA",12023,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1105,"DESOTO",12027,"DESOTO",12027,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1440,"DIXIE",12029,"DIXIE",12029,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",50953,"DUVAL",12031,"DUVAL",12031,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",26497,"ESCAMBIA",12033,"ESCAMBIA",12033,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10308,"FLAGLER",12035,"FLAGLER",12035,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1033,"FRANKLIN",12037,"FRANKLIN",12037,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1275,"GADSDEN",12039,"GADSDEN",12039,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
